,Ring Price,Ring Gross Weight,Ring Size,Diamond Weight/Carats,Diamond Count
349,1625000.0,4.1,6.0,3.79,
350,1625000.0,5.1,7.0,1.6,25.0
351,1625000.0,5.1,5.0,1.04,25.0
352,1625000.0,20.3,7.0,3.92,50.0
353,1625000.0,7.2,7.0,4.24,25.0
354,1625000.0,8.1,4.0,,100.0
355,1625000.0,14.0,6.0,25.0,25.0
356,1625000.0,15.2,6.0,3.01,100.0
357,1625000.0,16.4,,16.75,50.0
358,1625000.0,15.6,,14.83,25.0
359,1625000.0,5.3,5.0,4.04,25.0
360,1625000.0,20.2,,,
361,1625000.0,11.6,8.0,8.0,50.0
362,1625000.0,6.5,,,25.0
363,1625000.0,6.5,6.0,5.06,100.0
364,1625000.0,9.57,8.0,2.69,25.0
365,1625000.0,,4.0,,50.0
366,1625000.0,5.7,6.0,2.75,25.0
367,1625000.0,17.2,7.0,5.01,25.0
368,1625000.0,7.17,6.0,7.41,25.0
369,1625000.0,20.84,6.0,29.3,25.0
370,1625000.0,6.15,6.0,3.02,25.0
371,1625000.0,4.1,6.0,1.11,50.0
372,1625000.0,7.88,6.0,6.8,25.0
373,1613250.0,6.6,6.0,2.01,50.0
374,1562500.0,10.7,6.0,2.32,50.0
375,1562500.0,10.7,7.0,2.47,25.0
376,1562500.0,9.4,8.0,7.0,25.0
377,1562500.0,4.81,11.0,3.78,25.0
378,1562500.0,10.8,5.0,3.0,50.0
379,1562500.0,11.6,,2.58,75.0
380,1562500.0,6.74,8.0,4.01,100.0
381,1562500.0,11.42,8.0,2.06,25.0
382,1562500.0,5.43,7.0,5.95,25.0
383,1562500.0,4.8,7.0,1.51,25.0
384,1553500.0,6.58,6.0,5.0,25.0
385,1553500.0,11.5,5.0,23.36,25.0
386,1553500.0,29.0,4.0,14.35,100.0
387,1553500.0,12.15,7.0,4.5,50.0
388,1553500.0,16.65,7.0,13.69,25.0
389,1553500.0,6.97,5.0,1.51,25.0
390,1553500.0,11.9,5.0,5.35,50.0
391,1553500.0,5.2,5.0,4.0,25.0
392,1550000.0,7.3,5.0,8.1,25.0
393,1500000.0,4.5,6.0,4.1,25.0
394,1500000.0,8.5,,2.35,100.0
395,1500000.0,15.6,6.0,22.0,25.0
396,1500000.0,9.5,6.0,7.8,25.0
397,1500000.0,25.7,7.0,20.25,25.0
398,1500000.0,41.3,9.0,4.0,100.0
399,1500000.0,10.1,7.0,11.87,100.0
400,1500000.0,17.6,7.0,2.45,
401,1500000.0,7.3,6.0,3.4,50.0
402,1500000.0,3.5,6.0,0.7,25.0
403,1500000.0,9.7,5.0,2.01,50.0
404,1500000.0,7.8,6.0,3.37,75.0
405,1500000.0,9.0,6.0,2.03,50.0
406,1500000.0,7.4,5.0,3.58,
407,1500000.0,8.02,6.0,6.5,25.0
408,1500000.0,14.02,4.0,5.02,75.0
409,1000.0,9.9,4.0,,25.0
410,2125000.0,10.4,5.0,15.67,100.0
411,2062500.0,7.4,6.0,3.38,25.0
412,2062500.0,20.7,9.0,4.63,100.0
413,2062500.0,5.1,,3.58,25.0
414,2062500.0,2.85,5.0,1.98,25.0
415,2031500.0,8.4,7.0,3.0,25.0
416,2031500.0,14.8,6.0,3.7,75.0
417,2031500.0,7.2,4.0,3.73,25.0
418,2031500.0,6.0,,5.0,25.0
419,2031500.0,10.0,,8.0,
420,2000000.0,8.1,6.0,4.53,25.0
421,2000000.0,5.2,7.0,2.36,25.0
422,2000000.0,20.4,8.0,5.01,100.0
423,2000000.0,7.9,5.0,6.27,25.0
424,2000000.0,11.8,,5.01,100.0
425,2000000.0,34.8,9.0,6.19,25.0
426,2000000.0,7.6,5.0,6.88,25.0
427,2000000.0,4.9,3.0,3.31,25.0
428,2000000.0,5.0,6.0,2.91,25.0
429,2000000.0,5.8,6.0,4.0,50.0
430,2000000.0,,,,
431,2000000.0,24.2,7.0,24.0,75.0
432,2000000.0,10.2,6.0,10.57,25.0
433,2000000.0,12.26,6.0,18.46,25.0
434,2000000.0,5.35,7.0,4.17,25.0
435,2000000.0,7.0,6.0,4.35,25.0
436,2000000.0,4.15,6.0,3.74,25.0
437,2000000.0,43.1,5.0,16.0,100.0
438,2000000.0,,6.0,,50.0
439,2000000.0,3.96,5.0,7.98,25.0
440,2000000.0,14.7,,11.0,100.0
441,2000000.0,7.45,7.0,2.38,50.0
442,2000000.0,7.5,7.0,2.15,25.0
443,1937500.0,8.9,5.0,4.01,25.0
444,1937500.0,8.17,5.0,2.02,
445,1937500.0,5.0,6.0,1.85,
446,1937500.0,9.5,6.0,3.54,50.0
447,1912000.0,3.4,5.0,4.6,25.0
448,1912000.0,19.3,7.0,14.26,50.0
449,1912000.0,13.0,6.0,10.77,50.0
450,1912000.0,12.74,9.0,3.36,25.0
451,1912000.0,12.4,7.0,3.45,
452,1900000.0,6.2,,2.75,25.0
453,1875000.0,3.81,5.0,1.21,25.0
454,1875000.0,13.8,10.0,4.01,50.0
455,1875000.0,7.1,,7.28,75.0
456,1875000.0,4.9,7.0,3.28,25.0
457,1875000.0,16.0,6.0,3.02,50.0
458,1875000.0,9.4,6.0,10.83,25.0
459,1875000.0,13.8,6.0,9.55,25.0
460,1875000.0,17.1,7.0,10.35,50.0
461,1875000.0,11.1,7.0,15.81,25.0
462,1875000.0,51.8,10.0,15.68,25.0
463,1875000.0,7.2,6.0,3.42,25.0
464,1875000.0,9.0,5.0,3.03,25.0
